valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
11.01,0.06,48.10,59.11,2.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,5.85,4.57,5.85,63.13,3.44,1.00,0.00,0.00,0.00,0.00,0.00,0.00,169.82,42.52,17.87,68.74,0.00,0.00,0.00,0.00,17.87,68.74,10.23,35.77,
-4.92,0.03,4.92,0.00,4.00,4.00,2.00,1.00,3.00,1.00,1.00,1.00,0.00,3.00,10.83,11.16,21.67,49.86,5.04,2.00,1.00,0.00,0.00,0.00,0.00,0.00,188.05,32.92,35.71,189.91,0.00,0.00,0.00,0.00,35.71,189.91,16.39,107.97,
-12.05,-0.03,12.05,0.00,5.00,1.00,2.00,1.00,3.00,1.00,1.00,2.00,0.00,4.00,18.65,25.21,46.62,36.43,6.71,2.00,1.00,0.00,25.63,127.62,76.89,382.86,184.04,35.95,55.26,263.77,12.82,63.81,12.82,191.43,55.26,263.77,22.68,90.37,
6.33,0.00,27.53,33.86,5.00,1.00,2.00,1.00,3.00,1.00,1.00,2.00,0.00,5.00,26.87,29.17,67.17,21.46,9.71,3.00,1.00,1.00,33.33,134.55,99.99,403.65,198.69,39.70,61.15,267.46,16.67,67.28,16.67,201.83,61.15,267.46,36.01,165.17,
-17.72,-0.09,48.64,30.92,6.00,1.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,6.00,27.13,31.24,81.40,22.63,7.89,4.00,2.00,1.00,22.99,150.54,68.98,451.63,203.38,35.30,65.53,331.97,11.50,75.27,11.50,225.81,65.53,331.97,47.57,217.87,
-24.84,-0.21,47.47,22.63,7.00,0.00,3.00,2.00,4.00,1.00,2.00,3.00,0.00,6.00,36.15,60.71,126.53,3.54,9.49,4.00,2.00,1.00,0.00,0.00,0.00,0.00,254.32,45.85,97.42,466.14,0.00,0.00,0.00,0.00,97.42,466.14,62.15,286.31,
-38.41,-0.40,38.41,0.00,8.00,3.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,7.00,33.74,63.22,134.95,11.07,7.37,5.00,2.00,1.00,99.18,590.97,297.53,1772.90,241.97,43.12,122.81,617.41,49.59,295.48,49.59,886.45,122.81,617.41,70.41,295.54,
165.35,0.43,36.33,201.68,6.00,1.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,4.00,35.24,72.47,105.71,10.83,9.86,3.00,1.00,1.00,81.43,270.02,244.28,810.05,185.50,39.29,93.47,358.41,40.71,135.01,40.71,405.03,93.47,358.41,54.44,185.57,
-59.17,0.13,59.17,0.00,8.00,3.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,7.00,42.36,95.79,169.43,-3.12,9.14,5.00,2.00,1.00,160.89,648.92,482.68,1946.77,203.12,35.58,122.58,543.58,80.45,324.46,80.45,973.39,122.58,543.58,71.30,303.88,
211.05,1.18,64.49,275.53,6.00,0.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,5.00,24.85,40.44,74.55,31.57,6.41,4.00,2.00,1.00,0.00,0.00,0.00,0.00,195.87,43.63,68.52,295.16,0.00,0.00,0.00,0.00,68.52,295.16,30.77,179.44,
-38.53,0.99,38.53,0.00,8.00,2.00,4.00,2.00,6.00,2.00,3.00,2.00,0.00,7.00,34.19,54.24,136.77,15.79,6.78,6.00,3.00,2.00,81.37,317.58,244.10,952.75,190.76,41.12,113.21,492.37,40.68,158.79,40.68,476.37,113.21,492.37,64.16,341.20,
62.32,1.29,54.31,116.64,8.00,2.00,4.00,2.00,7.00,2.00,3.00,1.00,0.00,8.00,34.50,52.50,137.98,11.82,7.27,7.00,3.00,2.00,74.72,481.76,224.17,1445.28,166.15,34.06,105.17,491.60,37.36,240.88,37.36,722.64,105.17,491.60,81.71,438.54,
