,custo,erro,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,Theta_fb6,Theta_fb7,Theta_fb8,Theta_fb9,Theta_fb10,Theta_fb11
0,-92.1950523508374,2080.117313310861,6.0,1003.9571605861693,4.0,2.0,4.0,7.0,1638.2207792852748,8096.155705431958,666.8699816202665,0.0,2589.0230110951948,3592.9801716813636
1,-114.9981364326569,-464.7373080478148,8.0,1237.2440894899155,5.0,3.0,5.0,6.0,2193.8395459573726,9513.186031341233,814.5333460526005,0.0,2479.6477495223235,3716.891839012239
2,-213.29214719389552,-445.9686615733226,10.0,1612.050711965559,6.0,4.0,3.0,4.0,2876.334892199879,13624.754120316029,671.968858846489,0.0,3122.6993363615247,4734.750048327084
3,-279.12750161050155,1309.96209114999,12.0,1585.2714924803042,8.0,4.0,4.0,4.0,3087.4588825246515,14363.774154436433,644.285251847329,0.0,3124.798216401628,4710.0697088819325
4,-293.5280110807781,-248.3664361432667,14.0,1790.0261026119956,9.0,5.0,2.0,3.0,3608.02568016529,17301.43766450247,477.3821137009089,493.03065363553884,2806.091292944629,4596.1173955566255
5,-286.1564727735476,-2356.3544488616517,14.0,1655.241341918678,11.0,3.0,3.0,3.0,3711.099589626677,16944.684039870834,688.9502657897566,0.0,2953.917326989851,4609.158668908529
6,1376.7316644994326,1172.0147196216462,16.0,1663.1453048626804,13.0,3.0,2.0,5.0,4335.9416345396585,19000.80918212126,293.96043571755035,1381.0291194583824,3790.8155561833173,5453.960861045999
7,891.642991292514,89641.59848095747,13.0,1515.3851846876985,13.0,0.0,4.0,6.0,3625.4689802140992,16482.536937899004,495.40232392902936,939.1056896945404,2958.3100855939792,4473.695270281678
8,836.1230727641282,2942.9502297523336,13.0,1733.704685760672,11.0,2.0,2.0,2.0,3826.464756325303,18436.017086586085,210.69929302277745,1247.0890089307989,-65065.6062633971,-63331.90157763642
9,-281.2344989871452,1451.1279909880325,11.0,1576.2094171552155,8.0,3.0,0.0,0.0,3221.137082987517,16714.79617695277,0.0,0.0,578.4085067173369,2154.617923872552
10,229.66698429824459,2080.348950420087,12.0,1420.7976957234823,10.0,2.0,2.0,3.0,3540.4563648662383,15538.323290718718,405.3353752606328,446.12525038647254,2727.05315546101,4147.850851184492
11,1018.1822041081398,637.64436743072,13.0,1687.9258861878752,10.0,3.0,2.0,2.0,4197.931530110591,20675.835132517364,563.3079016573621,1106.4638217379559,1131.8363964411478,2819.7622826290226
12,-76.26976188611962,2193.673605729775,14.0,1810.2295522153765,10.0,4.0,1.0,2.0,4232.679778467408,19246.17301345858,122.42944459828891,167.15109931566153,514.0861512110716,2324.315703426448
13,368.4409871356984,1075.5619524977951,12.0,1384.97770923818,8.0,4.0,1.0,1.0,3791.093303591771,18521.769214951004,122.42944459828891,1268.7910532025294,2107.8735532707014,3492.8512625088806
14,-277.84830452542684,1092.5642561565023,11.0,1326.8918251606444,8.0,3.0,2.0,2.0,3306.7492845867105,17251.376561565314,320.0402997222046,192.1585648619662,1672.2301554590842,2999.1219806197287
15,787.3150626419174,59903.011364185484,12.0,1440.2272753052443,8.0,4.0,1.0,2.0,3612.623006956484,19227.68105550428,256.6128481740748,1023.2344386091892,921.1339820245696,2361.3612573298137
16,-217.39495110929994,904.2226056947491,11.0,1491.6725214461187,8.0,3.0,3.0,6.0,3371.662448212918,18880.17327812841,589.1263599787159,0.0,462.00158936083346,1953.674110806952
17,1585.4316282569146,1876.682763468585,13.0,1765.4426188873838,9.0,4.0,3.0,4.0,4360.778804949188,22244.9475616133,428.5386342175167,1790.6434251486114,838.4010354835788,2603.8436543709627
18,-274.0964448380481,6072.518908760852,10.0,1425.247658080698,6.0,4.0,1.0,1.0,3228.280957039248,16951.38855226327,109.22995113871416,0.0,-31.007528657185958,1394.2401294235121
19,-288.2854590020311,-212.27222292156694,11.0,1365.316632329198,5.0,6.0,0.0,0.0,3736.4428897542366,19432.3738389294,0.0,0.0,1411.0725452730012,2776.3891776021987
20,-143.84902425126734,3386.3892157541795,12.0,1315.2363143511493,5.0,7.0,0.0,0.0,4074.95482611253,21488.576126595548,0.0,520.0211789135647,-11638.127479955576,-10322.891165604427
21,15.189741885975536,-15.652934562853709,9.0,783.6940896839844,4.0,5.0,2.0,3.0,1990.6659689677113,10007.395442781155,411.30479238881856,374.6767104804572,1391.0706942929094,2174.7647839768933
