i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,0,0.0,0.0,844.55,248.93125,0.0,463.625,2231.075,0.0,76.5,102.0,25.5,76.5,127.5,76.5,25.5,76.5,63.75,63.75,51.0,0.0,76.5,0.0,25.5,11
0,1,95.0,95.0,668.8000000000001,217.546875,0.0,448.875,2403.2625,0,75.5,100,24.5,75.5,100,75.5,24.5,75.5,78.75,62.75,50.0,0,75.5,0,24.5,10
0,2,103.07499999999999,103.07499999999999,670.2249999999999,228.278125,47.5,469.125,2715.3374999999996,0,74.5,99.0,23.5,74.5,99.0,74.5,23.5,90.5,77.75,61.75,49.0,0,74.5,0,23.5,9
0,3,100.225,100.225,677.3499999999998,220.084375,0.0,457.375,2456.4624999999996,0,73.5,98.0,22.5,73.5,98.0,73.5,38.5,89.5,76.75,60.75,48.0,0,73.5,0,22.5,8
0,4,105.45,105.45,697.3,227.965625,30.4,477.625,2737.1875,0,72.5,97.0,21.5,72.5,97.0,88.5,37.5,88.5,75.75,59.75,47.0,0,72.5,0,21.5,7
0,5,105.45,105.45,723.9,227.996875,180.5,456.875,2427.25,0,71.5,96.0,20.5,71.5,100,87.5,36.5,87.5,74.75,58.75,46.0,0,71.5,0,20.5,6
0,6,108.77499999999999,108.77499999999999,783.2749999999999,233.97812499999998,17.099999999999998,480.8125,2603.475,0,70.5,95.0,19.5,86.5,99.0,86.5,35.5,86.5,73.75,57.75,45.0,0,70.5,0,19.5,5
0,7,104.5,104.5,835.0500000000001,224.359375,0.0,472.0,2290.45,0,69.5,94.0,34.5,85.5,98.0,85.5,34.5,85.5,72.75,56.75,44.0,0,69.5,0,18.5,4
0,8,107.35,107.35,896.325,227.896875,180.5,490.1875,2255.7749999999996,0,68.5,100,33.5,84.5,97.0,84.5,33.5,84.5,71.75,55.75,43.0,0,68.5,0,17.5,3
0,9,106.87500000000001,106.87500000000001,982.775,230.078125,4.2749999999999995,482.8125,2329.875,0,83.5,99.0,32.5,83.5,96.0,83.5,32.5,83.5,70.75,54.75,42.0,0,67.5,0,16.5,2
0,10,87.875,87.875,1054.5,206.015625,0.0,455.0,1936.1,15.0,82.5,98.0,31.5,82.5,95.0,82.5,31.5,82.5,69.75,53.75,41.0,0,66.5,0,15.5,1
0,11,78.37499999999999,78.37499999999999,1049.75,191.625,0.0,437.0,1856.3,30.0,81.5,97.0,30.5,81.5,94.0,81.5,30.5,81.5,68.75,52.75,40.0,0,65.5,0,14.5,1
0,12,73.625,73.625,1054.5,182.375,0.0,432.5625,1800.25,45.0,80.5,96.0,29.5,80.5,93.0,80.5,29.5,80.5,67.75,51.75,39.0,0,64.5,0,13.5,1
0,13,70.775,70.775,1061.15,178.353125,0.0,417.0,1762.725,60.0,79.5,95.0,28.5,79.5,92.0,79.5,28.5,79.5,66.75,50.75,38.0,0,63.5,0,12.5,1
0,14,69.825,69.825,1068.275,180.340625,0.0,414.0625,1779.35,75.0,78.5,94.0,27.5,78.5,91.0,78.5,27.5,78.5,65.75,49.75,37.0,0,62.5,0,11.5,1
0,15,78.375,78.375,1084.8999999999999,191.828125,42.75,425.8125,1906.1749999999997,90.0,77.5,93.0,26.5,77.5,90.0,77.5,26.5,77.5,64.75,48.75,36.0,0,61.5,0,10.5,1
0,16,86.92499999999998,86.92499999999998,1103.425,202.22187499999998,180.5,433.1875,1865.8,100,76.5,92.0,25.5,76.5,89.0,76.5,25.5,76.5,63.75,47.75,35.0,0,60.5,0,9.5,1
0,17,85.975,85.975,1113.4,200.928125,180.5,431.8125,1822.5749999999998,100,75.5,91.0,24.5,75.5,88.0,75.5,24.5,75.5,62.75,46.75,34.0,0,59.5,0,8.5,1
0,18,85.025,85.025,1124.8,199.634375,180.5,430.4375,1788.375,100,74.5,90.0,23.5,74.5,87.0,74.5,23.5,74.5,61.75,45.75,33.0,0,58.5,0,7.5,1
0,19,84.075,84.075,1138.1,198.340625,180.5,429.0625,1763.1999999999998,100,73.5,89.0,22.5,73.5,86.0,73.5,22.5,73.5,60.75,44.75,32.0,0,57.5,0,6.5,1
0,20,83.125,83.125,1155.1999999999998,197.046875,180.5,427.6875,1747.0500000000002,100,72.5,88.0,21.5,72.5,85.0,72.5,21.5,72.5,59.75,43.75,31.0,0,56.5,0,5.5,1
0,21,82.175,82.175,1176.1,195.753125,180.5,426.3125,1741.8249999999998,100,71.5,87.0,20.5,71.5,84.0,71.5,20.5,71.5,58.75,42.75,30.0,0,55.5,0,4.5,1
0,22,82.175,82.175,1199.85,195.409375,180.5,424.9375,1724.725,100,70.5,86.0,19.5,70.5,83.0,70.5,19.5,70.5,57.75,41.75,29.0,0,54.5,0,3.5,1
0,23,83.125,83.125,1225.5,196.015625,180.5,423.5625,1716.65,100,69.5,85.0,18.5,69.5,82.0,69.5,18.5,69.5,56.75,40.75,28.0,0,53.5,0,2.5,1
0,24,84.075,84.075,1253.05,196.621875,180.5,422.1875,1717.125,100,68.5,84.0,17.5,68.5,81.0,68.5,17.5,68.5,55.75,39.75,27.0,0,52.5,0,1.5,1
0,25,85.025,85.025,1282.5,197.228125,180.5,420.8125,1726.625,100,67.5,83.0,16.5,67.5,80.0,67.5,16.5,67.5,54.75,38.75,26.0,0,51.5,0,0.5,1
0,26,86.44999999999999,86.44999999999999,1306.25,198.16875,180.5,418.875,1743.25,100,66.5,82.0,15.5,66.5,79.0,66.5,15.5,66.5,53.75,37.75,25.0,0,50.5,0,0,1
0,27,87.4,87.4,1324.3,198.49375,180.5,416.375,1767.9499999999998,100,65.5,81.0,14.5,65.5,78.0,65.5,14.5,65.5,52.75,36.75,24.0,0,49.5,0,0,1
0,28,88.35,88.35,1344.25,198.81875,180.5,413.875,1802.625,100,64.5,80.0,13.5,64.5,77.0,64.5,13.5,64.5,51.75,35.75,23.0,0,48.5,0,0,1
0,29,90.25,90.25,1365.15,200.09375,180.5,411.375,1845.85,100,63.5,79.0,12.5,63.5,76.0,63.5,12.5,63.5,50.75,34.75,22.0,0,47.5,0,0,1
0,30,92.15,92.15,1387.0,201.36875,180.5,408.875,1894.7749999999999,100,62.5,78.0,11.5,62.5,75.0,62.5,11.5,62.5,49.75,33.75,21.0,0,46.5,0,0,1
0,31,94.05,94.05,1409.8,202.64375,180.5,406.375,1948.925,100,61.5,77.0,10.5,61.5,74.0,61.5,10.5,61.5,48.75,32.75,20.0,0,45.5,0,0,1
0,32,96.9,96.9,1432.6,204.86875,180.5,403.875,2006.875,100,60.5,76.0,9.5,60.5,73.0,60.5,9.5,60.5,47.75,31.75,19.0,0,44.5,0,0,1
0,33,99.75,99.75,1455.6375,207.09375,180.5,401.375,2068.625,100,59.5,75.0,8.5,59.5,72.0,59.5,8.5,59.5,46.75,30.75,18.0,0,43.5,0,0,1
0,34,102.6,102.6,1479.625,209.31875,180.5,398.875,2130.1375,100,58.5,74.0,7.5,58.5,71.0,58.5,7.5,58.5,45.75,29.75,17.0,0,42.5,0,0,1
0,35,105.44999999999999,105.44999999999999,1504.5625,211.54375,180.5,396.375,2183.575,100,57.5,73.0,6.5,57.5,70.0,57.5,6.5,57.5,44.75,28.75,16.0,0,41.5,0,0,1
0,36,108.3,108.3,1530.45,213.76875,180.5,393.875,2232.2625,100,56.5,72.0,5.5,56.5,69.0,56.5,5.5,56.5,43.75,27.75,15.0,0,40.5,0,0,1
0,37,111.15,111.15,1557.2875000000001,215.99375,180.5,391.375,2281.8999999999996,100,55.5,71.0,4.5,55.5,68.0,55.5,4.5,55.5,42.75,26.75,14.0,0,39.5,0,0,1
0,38,114.0,114.0,1585.075,218.21875,180.5,388.875,2332.4874999999997,100,54.5,70.0,3.5,54.5,67.0,54.5,3.5,54.5,41.75,25.75,13.0,0,38.5,0,0,1
0,39,116.85,116.85,1613.8125,220.44375,180.5,386.375,2376.6625,100,53.5,69.0,2.5,53.5,66.0,53.5,2.5,53.5,40.75,24.75,12.0,0,37.5,0,0,1
0,40,119.7,119.7,1643.5,222.66875,180.5,383.875,2415.1375,100,52.5,68.0,1.5,52.5,65.0,52.5,1.5,52.5,39.75,23.75,11.0,0,36.5,0,0,1
0,41,122.55,122.55,1674.1375,224.89375,180.5,381.375,2436.5125,100,51.5,67.0,0.5,51.5,64.0,51.5,0.5,51.5,38.75,22.75,10.0,0,35.5,0,0,1
0,42,124.45,124.45,1700.025,225.8875,180.5,377.75,2457.8875,100,50.5,66.0,0,50.5,63.0,50.5,0,50.5,37.75,21.75,9.0,0,34.5,0,0,1
0,43,125.4,125.4,1721.6375,225.65,180.5,373.0,2479.5,100,49.5,65.0,0,49.5,62.0,49.5,0,49.5,36.75,20.75,8.0,0,33.5,0,0,1
0,44,126.58749999999999,126.58749999999999,1744.9125000000001,225.64999999999998,180.5,368.25,2503.25,100,48.5,64.0,0,48.5,61.0,48.5,0,48.5,35.75,19.75,7.0,0,32.5,0,0,1
0,45,128.4875,128.4875,1769.1375,226.3625,180.5,363.5,2528.9,100,47.5,63.0,0,47.5,60.0,47.5,0,47.5,34.75,18.75,6.0,0,31.5,0,0,1
0,46,130.3875,130.3875,1794.3125000000002,227.2625,180.5,358.75,2556.45,100,46.5,62.0,0,46.5,59.0,46.5,0,46.5,33.75,17.75,5.0,0,30.5,0,0,1
