estagio,projeto,area,etapa,decisao,vpl,tfunil
0,p0,0,1,Melhorar,1133.853186299737,1.0
0,p1,1,1,Melhorar,378.98602694898227,1.0
0,p2,1,1,Continuar,405.0330113155781,1.0
0,p3,1,1,Abandonar,534.3404594377655,1.0
0,p4,1,1,Abandonar,445.81468379215914,1.0
0,p5,1,1,Continuar,1052.3083618266312,1.0
1,p0,0,1,Melhorar,1170.2588971453604,1.3333333333333335
1,p2,1,1,Continuar,397.99137191010345,1.5
1,p5,1,1,Continuar,996.3832505543567,1.3333333333333335
1,p0.0,0,1,Abandonar,150.0679441637189,1.0
1,p0.1,0,1,Melhorar,67.01699624545621,1.0
1,p1,1,2,Continuar,352.85052621028024,2.0
2,p0,0,1,Melhorar,1200.009557586663,1.6666666666666667
2,p5,1,1,Continuar,1009.9666873805874,1.6666666666666667
2,p1.0,1,1,Abandonar,-416.6516338891709,1.0
2,p1.1,0,1,Melhorar,617.276887781042,1.0
2,p2,1,2,Melhorar,428.514232119055,2.0
2,p0.1,0,2,Continuar,69.50258648994149,2.0
2,p1,1,3,Continuar,344.57691842630584,3.0
3,p1.1,0,1,Melhorar,643.4179944259182,1.5
3,p2.0,1,1,Melhorar,21.88616378086939,1.0
3,p2.1,1,1,Melhorar,173.81457474538357,1.0
3,p0,0,2,Continuar,1233.7975041319116,2.0
3,p5,1,2,Continuar,1059.5064530452594,2.0
3,p2,1,2,Melhorar,441.8259190511562,2.5
3,p0.1,0,2,Continuar,64.68327909669772,2.0
3,p1,1,3,Continuar,345.6103407588347,3.3333333333333335
4,p2.0,1,1,Melhorar,107.15625828581088,1.3333333333333335
4,p2.1,1,1,Continuar,178.85511483048867,1.5
4,p3.0,1,1,Abandonar,102.9938189042457,1.0
4,p3.1,1,1,Abandonar,135.2877915362082,1.0
4,p1.1,0,2,Melhorar,678.362278167347,2.0
4,p0,0,2,Continuar,1267.726747527807,2.5
4,p0.1,0,2,Continuar,51.80698536657532,2.0
4,p5,1,3,Continuar,1105.4133551286382,3.0
4,p2,1,3,Continuar,459.09747215628624,3.0
4,p1,1,3,Abandonar,339.998225430349,3.6666666666666665
5,p2.0,1,1,Melhorar,238.59123124008792,1.6666666666666667
5,p4.0,0,1,Melhorar,386.6449926493569,1.0
5,p4.1,0,1,Abandonar,231.03698522059437,1.0
5,p2.1,1,2,Continuar,189.02698350545563,2.0
5,p1.1,0,2,Melhorar,854.1161416117568,2.3333333333333335
5,p0.1,0,2,Continuar,48.95474775231298,2.3333333333333335
5,p0,0,3,Melhorar,1231.4392913781048,3.0
5,p5,1,3,Abandonar,1063.114127235891,3.5
5,p2,1,3,Congelar,490.1445807881871,3.5
6,p4.0,0,1,Melhorar,339.17803786228205,1.0
6,p5.0,1,1,Melhorar,215.244030069395,1.0
6,p5.1,0,1,Abandonar,-393.5744744901347,1.0
6,p2.0,1,2,Melhorar,278.73044515996565,2.0
6,p2.1,1,2,Continuar,199.72588650284547,2.5
6,p1.1,0,2,Melhorar,903.9701581985366,2.6666666666666665
6,p0.1,0,2,Continuar,51.01798177322259,2.6666666666666665
6,p0,0,3,Abandonar,1239.7073004979493,3.5
6,p2,1,3,Congelar,406.5126776462139,3.5
7,p4.0,0,1,Melhorar,290.5973628477663,1.0
7,p6.0,1,1,Melhorar,-154.79721485028503,1.0
7,p6.1,0,1,Continuar,111.18191160215673,1.0
7,p5.0,1,2,Continuar,220.07492749057735,2.0
7,p2.0,1,2,Melhorar,292.52163313927514,2.3333333333333335
7,p2.1,1,3,Abandonar,167.04522207607008,3.0
7,p1.1,0,3,Congelar,922.2136215815515,3.0
7,p0.1,0,3,Melhorar,52.67551261853244,3.0
7,p2,1,3,Abandonar,353.50067840062775,3.5
8,p4.0,0,1,Melhorar,256.1668405866162,1.0
8,p6.0,1,1,Melhorar,0.6814235223856475,1.0
8,p6.1,0,1,Continuar,114.50157768240905,1.3333333333333335
8,p7.0,1,1,Abandonar,243.998340151877,1.0
8,p7.1,0,1,Abandonar,357.0693821885983,1.0
8,p5.0,1,2,Continuar,163.4533358913966,2.0
