valorSim - custoSim,v0,custoSim,valorSim,QProj,QProjNovos,QProje,Qproja,QProjDiv,QProjDiva,QProjDive,QProjnDiv,TCongP,TCongReP,NecRecP,NecRecPa,NecRecPe,OrTotal,QRecMax,QProjCong,QProjCongE,QProjCongA,RetMnTotalProj,RetMxTotalProj,RetMnTotalA,RetMxTotalA,DesemMxProj,DesemMnProj,VPLMnTotal,VPLMxTotal,CustoMnTotal,CustoMxTotal,VPLMnTotalA,VPLMxTotalA,VPLMnTotalE,VPLMxTotalE,CustoMnTotalCong,CustoMxTotalCong,
12.77,0.06,48.10,60.87,2.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,8.78,3.51,8.78,60.47,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.90,34.45,17.50,78.51,0.00,0.00,0.00,0.00,17.50,78.51,0.00,0.00,
-9.63,0.02,9.63,0.00,4.00,4.00,2.00,1.00,1.00,0.00,0.00,3.00,0.00,1.00,21.77,18.32,43.55,32.97,9.26,1.00,0.00,0.00,0.00,0.00,0.00,0.00,196.50,25.91,35.47,192.10,0.00,0.00,0.00,0.00,35.47,192.10,5.55,41.55,
-29.35,-0.13,29.35,0.00,6.00,1.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,3.00,25.33,31.01,76.00,26.18,7.30,2.00,1.00,0.00,36.09,85.79,108.27,257.36,168.99,21.29,52.94,296.30,18.05,42.89,18.05,128.68,52.94,296.30,7.06,47.18,
16.15,-0.05,31.86,48.00,6.00,3.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,4.00,18.89,20.87,56.68,36.21,5.63,4.00,2.00,1.00,79.31,590.04,237.94,1770.11,204.64,25.73,56.88,400.98,39.66,295.02,39.66,885.06,56.88,400.98,21.97,142.16,
138.93,0.64,17.97,156.90,5.00,0.00,2.00,1.00,4.00,1.00,2.00,1.00,0.00,2.00,18.79,15.97,46.97,34.39,7.12,2.00,1.00,0.00,0.00,0.00,0.00,0.00,212.31,44.53,39.89,171.63,0.00,0.00,0.00,0.00,39.89,171.63,9.86,37.78,
-23.98,0.52,23.98,0.00,6.00,0.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,2.00,17.68,22.61,53.03,34.06,5.99,2.00,1.00,0.00,0.00,0.00,0.00,0.00,244.73,52.41,58.80,250.93,0.00,0.00,0.00,0.00,58.80,250.93,11.93,45.19,
-23.98,0.40,23.98,0.00,6.00,0.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,2.00,22.96,39.11,68.88,31.04,6.49,2.00,1.00,0.00,0.00,0.00,0.00,0.00,225.24,47.05,64.98,271.23,0.00,0.00,0.00,0.00,64.98,271.23,14.23,61.16,
-35.87,0.22,35.87,0.00,7.00,0.00,3.00,2.00,5.00,1.00,2.00,2.00,0.00,4.00,32.18,41.68,112.63,13.51,8.07,4.00,2.00,1.00,0.00,0.00,0.00,0.00,196.46,42.60,91.57,372.76,0.00,0.00,0.00,0.00,91.57,372.76,35.37,175.52,
-56.49,-0.07,56.49,0.00,9.00,3.00,4.00,3.00,6.00,2.00,3.00,3.00,0.00,5.00,27.04,48.29,121.66,13.70,6.26,5.00,2.00,1.00,78.89,392.42,236.67,1177.25,177.82,37.91,125.95,534.02,39.44,196.21,39.44,588.62,125.95,534.02,58.40,279.74,
87.62,0.37,56.40,144.02,8.00,1.00,4.00,2.00,4.00,1.00,2.00,4.00,0.00,3.00,21.38,36.33,85.54,24.74,5.66,3.00,1.00,1.00,86.49,320.14,259.48,960.41,185.68,40.44,131.15,533.62,43.25,160.07,43.25,480.20,131.15,533.62,35.64,169.78,
-45.36,0.14,45.36,0.00,10.00,4.00,5.00,3.00,5.00,1.00,2.00,5.00,2.00,4.00,28.24,57.41,141.19,10.87,5.91,4.00,2.00,1.00,260.26,1009.36,780.78,3028.07,187.28,37.50,177.59,747.05,130.13,504.68,130.13,1514.03,177.59,747.05,51.67,251.77,
360.16,1.94,59.23,419.39,8.00,4.00,4.00,2.00,3.00,1.00,1.00,5.00,0.00,3.00,35.63,54.06,142.51,8.26,7.72,3.00,1.00,1.00,107.13,507.01,321.39,1521.03,168.42,24.79,84.06,432.96,53.57,253.51,53.57,760.52,84.06,432.96,48.54,230.93,
139.62,2.63,61.74,201.36,6.00,0.00,3.00,2.00,1.00,0.00,0.00,5.00,0.00,1.00,37.29,42.31,111.88,11.43,9.76,1.00,0.00,0.00,0.00,0.00,0.00,0.00,223.92,28.29,54.97,330.38,0.00,0.00,0.00,0.00,54.97,330.38,8.92,53.62,
-40.44,2.42,40.44,0.00,6.00,1.00,3.00,2.00,2.00,0.00,1.00,4.00,0.00,2.00,8.87,10.96,26.61,49.86,3.36,2.00,1.00,0.00,25.58,155.16,76.73,465.47,255.84,37.20,66.24,401.25,12.79,77.58,12.79,232.73,66.24,401.25,19.45,127.83,
53.54,2.67,15.38,68.92,6.00,1.00,3.00,2.00,3.00,1.00,1.00,3.00,0.00,3.00,11.88,10.35,35.63,47.53,3.75,2.00,1.00,0.00,44.34,131.78,133.03,395.33,268.18,38.66,72.49,416.53,22.17,65.89,22.17,197.67,72.49,416.53,15.00,105.35,
63.47,2.98,8.52,71.99,6.00,2.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,3.00,20.67,24.53,62.01,39.51,5.08,3.00,1.00,1.00,79.00,584.86,237.01,1754.57,259.24,35.04,73.20,499.75,39.50,292.43,39.50,877.28,73.20,499.75,27.96,167.82,
209.81,4.01,16.81,226.62,5.00,0.00,2.00,1.00,4.00,1.00,2.00,1.00,0.00,3.00,13.09,16.35,32.73,47.82,4.44,3.00,1.00,1.00,0.00,0.00,0.00,0.00,304.09,42.29,52.94,334.70,0.00,0.00,0.00,0.00,52.94,334.70,32.24,207.01,
-16.32,3.91,16.32,0.00,6.00,1.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,4.00,22.30,30.46,66.91,25.85,7.36,3.00,1.00,1.00,38.54,264.34,115.61,793.02,212.29,27.78,63.82,383.66,19.27,132.17,19.27,396.51,63.82,383.66,36.66,192.54,
-33.13,3.72,33.13,0.00,6.00,3.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,5.00,29.79,35.36,89.36,15.77,9.04,4.00,2.00,1.00,128.76,657.08,386.28,1971.24,207.15,34.73,91.15,456.55,64.38,328.54,64.38,985.62,91.15,456.55,53.65,253.35,
250.67,4.96,54.23,304.90,5.00,0.00,2.00,1.00,2.00,0.00,1.00,3.00,0.00,3.00,16.78,27.97,41.96,44.81,5.04,2.00,1.00,0.00,0.00,0.00,0.00,0.00,171.50,30.59,44.94,227.10,0.00,0.00,0.00,0.00,44.94,227.10,13.23,30.93,
-25.39,4.81,25.39,0.00,7.00,1.00,3.00,2.00,3.00,1.00,1.00,4.00,0.00,4.00,32.70,76.31,114.46,16.75,7.61,3.00,1.00,1.00,17.40,158.32,52.20,474.97,176.62,31.99,76.30,380.21,8.70,79.16,8.70,237.49,76.30,380.21,26.25,71.12,
-34.01,4.61,53.35,19.34,8.00,2.00,4.00,2.00,3.00,1.00,1.00,5.00,0.00,4.00,30.62,66.65,122.47,20.01,6.25,3.00,1.00,1.00,109.88,563.76,329.64,1691.29,161.09,29.63,97.02,466.47,54.94,281.88,54.94,845.65,97.02,466.47,29.70,82.45,
179.48,5.49,50.09,229.58,8.00,2.00,4.00,2.00,2.00,0.00,1.00,6.00,0.00,2.00,20.24,34.71,80.98,36.56,4.18,2.00,1.00,0.00,52.76,217.04,158.28,651.12,104.03,22.15,64.32,265.72,26.38,108.52,26.38,325.56,64.32,265.72,27.18,76.74,
46.52,5.69,33.54,80.06,8.00,2.00,4.00,2.00,2.00,0.00,1.00,6.00,0.00,3.00,20.35,35.98,81.41,39.26,3.84,2.00,1.00,0.00,49.23,177.88,147.69,533.63,116.75,25.61,64.78,260.50,24.61,88.94,24.61,266.81,64.78,260.50,15.48,62.94,
51.03,5.92,18.98,70.01,7.00,2.00,3.00,2.00,3.00,1.00,1.00,4.00,0.00,3.00,27.36,38.12,95.76,25.99,6.29,3.00,1.00,1.00,37.03,161.62,111.10,484.85,124.37,23.13,55.03,234.38,18.52,80.81,18.52,242.43,55.03,234.38,21.09,100.46,
34.87,6.06,34.99,69.87,7.00,2.00,3.00,2.00,5.00,1.00,2.00,2.00,0.00,4.00,18.59,33.00,65.07,36.92,4.73,4.00,2.00,1.00,46.80,149.31,140.39,447.92,130.41,24.82,57.51,241.92,23.40,74.65,23.40,223.96,57.51,241.92,27.78,137.45,
38.48,6.23,23.96,62.44,6.00,0.00,3.00,2.00,4.00,1.00,2.00,2.00,0.00,4.00,11.69,20.95,35.08,42.04,4.66,4.00,2.00,1.00,0.00,0.00,0.00,0.00,274.65,43.46,61.12,335.57,0.00,0.00,0.00,0.00,61.12,335.57,36.25,180.45,
